route,page_name,title,description,h1,canonical,og_title,og_description,og_image,naver_clicks_90d,naver_impressions_90d,naver_ctr_90d,protection_required
/electricity-bill-calculator,전기요금 계산기,전기요금 계산기 | 가정용 누진요금 참고 계산,"월 사용 전력량과 계절 구분을 입력해 기본요금, 전력량요금, 부가세, 전력산업기반기금을 포함한 예상 전기요금을 계산하세요.",전기요금 계산기,https://www.moneycalculator.co.kr/electricity-bill-calculator,전기요금 계산기 | 가정용 누진요금 참고 계산,"월 사용 전력량과 계절 구분을 입력해 기본요금, 전력량요금, 부가세, 전력산업기반기금을 포함한 예상 전기요금을 계산하세요.",https://www.moneycalculator.co.kr/og-image.png,811,116544,0.7%,true
/guide/electricity-tier,전기요금 누진구간 가이드,전기요금 누진세 구간 쉽게 정리 | 가정용 전기요금 이해하기,"가정용 전기요금의 누진 구간과 기본요금, 전력량요금, 부가세를 이해하기 쉽게 정리합니다.",전기요금 누진세 구간 쉽게 정리,https://www.moneycalculator.co.kr/guide/electricity-tier,전기요금 누진세 구간 쉽게 정리 | 가정용 전기요금 이해하기,"가정용 전기요금의 누진 구간과 기본요금, 전력량요금, 부가세를 이해하기 쉽게 정리합니다.",https://www.moneycalculator.co.kr/og-image.png,,,,true
/air-conditioner-electricity-calculator,에어컨 전기세 계산기,에어컨 전기세 계산기 | 하루 8시간 사용 전기요금 계산,"에어컨 소비전력, 하루 사용 시간, 사용 일수, kWh당 단가를 입력해 월 예상 전력 사용량과 전기요금을 계산하세요.",에어컨 전기세 계산기,https://www.moneycalculator.co.kr/air-conditioner-electricity-calculator,에어컨 전기세 계산기 | 하루 8시간 사용 전기요금 계산,"에어컨 소비전력, 하루 사용 시간, 사용 일수, kWh당 단가를 입력해 월 예상 전력 사용량과 전기요금을 계산하세요.",https://www.moneycalculator.co.kr/og-image.png,391,24574,1.6%,true
/guide/aircon-8hours-cost,에어컨 하루 8시간 가이드,에어컨 하루 8시간 사용 시 전기요금 계산 방법 | 소비전력으로 계산하기,"에어컨 소비전력과 사용 시간을 이용해 하루 8시간 기준 월 전기요금을 계산하는 방법을 설명합니다.",에어컨 하루 8시간 사용 시 전기요금 계산 방법,https://www.moneycalculator.co.kr/guide/aircon-8hours-cost,에어컨 하루 8시간 사용 시 전기요금 계산 방법 | 소비전력으로 계산하기,"에어컨 소비전력과 사용 시간을 이용해 하루 8시간 기준 월 전기요금을 계산하는 방법을 설명합니다.",https://www.moneycalculator.co.kr/og-image.png,,,,true
/loan-interest-calculator,대출이자 계산기,대출이자 계산기 | 원리금균등·원금균등 계산,"대출금액, 금리, 기간, 상환방식을 입력해 월 상환금, 총이자, 월별 상환표를 간편하게 계산하세요.",대출이자 계산기,https://www.moneycalculator.co.kr/loan-interest-calculator,대출이자 계산기 | 원리금균등·원금균등 계산,"대출금액, 금리, 기간, 상환방식을 입력해 월 상환금, 총이자, 월별 상환표를 간편하게 계산하세요.",https://www.moneycalculator.co.kr/og-image.png,365,72661,0.5%,true
/guide/repayment-method-difference,원리금균등·원금균등 가이드,원리금균등상환과 원금균등상환 차이 | 월 납입액과 총이자 비교,"원리금균등, 원금균등, 만기일시상환 구조 차이와 어떤 상황에서 무엇이 유리한지 설명합니다.",원리금균등상환과 원금균등상환 차이,https://www.moneycalculator.co.kr/guide/repayment-method-difference,원리금균등상환과 원금균등상환 차이 | 월 납입액과 총이자 비교,"원리금균등, 원금균등, 만기일시상환 구조 차이와 어떤 상황에서 무엇이 유리한지 설명합니다.",https://www.moneycalculator.co.kr/og-image.png,,,,true
/annual-salary-net-calculator,연봉 실수령액 계산기,2026 연봉 실수령액 계산기 | 세후 월급 계산,"2026년 기준 연봉, 비과세 식대, 부양가족 수, 자녀 수를 입력해 예상 세후 월급과 연 실수령액을 계산하세요.",연봉 실수령액 계산기,https://www.moneycalculator.co.kr/annual-salary-net-calculator,2026 연봉 실수령액 계산기 | 세후 월급 계산,"2026년 기준 연봉, 비과세 식대, 부양가족 수, 자녀 수를 입력해 예상 세후 월급과 연 실수령액을 계산하세요.",https://www.moneycalculator.co.kr/og-image.png,231,74752,0.3%,true
/salary-calculator,월급 실수령액 계산기,2026 월급 실수령액 계산기 | 4대보험 공제 후 세후 월급,"월급 또는 연봉을 입력해 국민연금, 건강보험, 고용보험, 소득세, 지방소득세를 반영한 예상 실수령액을 계산하세요.",월급 실수령액 계산기,https://www.moneycalculator.co.kr/salary-calculator,2026 월급 실수령액 계산기 | 4대보험 공제 후 세후 월급,"월급 또는 연봉을 입력해 국민연금, 건강보험, 고용보험, 소득세, 지방소득세를 반영한 예상 실수령액을 계산하세요.",https://www.moneycalculator.co.kr/og-image.png,,,,true
/severance-pay-calculator,퇴직금 계산기,퇴직금 계산기 | 평균임금·상여금 포함 계산,"입사일, 퇴사일, 최근 3개월 임금, 상여금, 연차수당을 입력해 예상 퇴직금을 계산하세요.",퇴직금 계산기,https://www.moneycalculator.co.kr/severance-pay-calculator,퇴직금 계산기 | 평균임금·상여금 포함 계산,"입사일, 퇴사일, 최근 3개월 임금, 상여금, 연차수당을 입력해 예상 퇴직금을 계산하세요.",https://www.moneycalculator.co.kr/og-image.png,186,9451,2.0%,true
/domestic-stock-tax-calculator,국내주식 세금 계산기,국내 주식 세금 계산기 | 매도세금·증권거래세 계산,"국내 주식 매도금액을 입력해 증권거래세 등 예상 매도세금을 계산하고, 국내주식과 해외주식 세금 차이를 확인해보세요.",국내 주식 세금 계산기,https://www.moneycalculator.co.kr/domestic-stock-tax-calculator,국내 주식 세금 계산기 | 매도세금·증권거래세 계산,"국내 주식 매도금액을 입력해 증권거래세 등 예상 매도세금을 계산하고, 국내주식과 해외주식 세금 차이를 확인해보세요.",https://www.moneycalculator.co.kr/og-image.png,453,16318,2.8%,true
